trajectory_id	T1_standard_name	T1_name	T1_phecode	T2_standard_name	T2_name	T2_phecode	AOU_T1_local_GWAS_term	AOU_T2_local_GWAS_term	AOU_T1toT2_local_GWAS_term	BBJ_T1_local_GWAS_term	BBJ_T2_local_GWAS_term	BBJ_T1toT2_local_GWAS_term	CKB_T1_local_GWAS_term	CKB_T2_local_GWAS_term	CKB_T1toT2_local_GWAS_term	FinnGen_T1_local_GWAS_term	FinnGen_T2_local_GWAS_term	FinnGen_T1toT2_local_GWAS_term	GHI_T1_local_GWAS_term	GHI_T2_local_GWAS_term	GHI_T1toT2_local_GWAS_term	HUNT_T1_local_GWAS_term	HUNT_T2_local_GWAS_term	HUNT_T1toT2_local_GWAS_term	MGBB_T1_local_GWAS_term	MGBB_T2_local_GWAS_term	MGBB_T1toT2_local_GWAS_term	MGI_T1_local_GWAS_term	MGI_T2_local_GWAS_term	MGI_T1toT2_local_GWAS_term	MVP_T1_local_GWAS_term	MVP_T2_local_GWAS_term	MVP_T1toT2_local_GWAS_term	PMBB_T1_local_GWAS_term	PMBB_T2_local_GWAS_term	PMBB_T1toT2_local_GWAS_term	UKBB_T1_local_GWAS_term	UKBB_T2_local_GWAS_term	UKBB_T1toT2_local_GWAS_term
MItoHEARTFAIL	MI	Myocardial infarction	411.2	HEARTFAIL	Heart failure	428.2	Birth_to_MI	Birth_to_HEARTFAIL	MItoHEARTFAIL; MI_to_HEARTFAIL	MI	HEARTFAIL	MItoHEARTFAIL	MI	HEARTFAIL	MItoHEARTFAIL	I9_MI	I9_HEARTFAIL	I9_MI_I9_HEARTFAIL_0				MI	HEARTFAIL	MItoHEARTFAIL	411.2	428.2	411.2_to_428.2	MI	HEARTFAIL	MItoHEARTFAIL	MI	HEARTFAIL	MItoHEARTFAIL				MI	HEARTFAIL	MItoHEARTFAIL
OBESITYtoHEARTFAIL	OBESITY	Obesity	278.1	HEARTFAIL	Heart failure	428.2	Birth_to_OBESITY	Birth_to_HEARTFAIL	OBESITYtoHEARTFAIL; OBESITY_to_HEARTFAIL							E4_OBESITY	I9_HEARTFAIL	E4_OBESITY_I9_HEARTFAIL_0	Obesity	Heart_Failure	Obesity_to_Heart_Failure				278.1	428.2	278.1_to_428.2	OBESITY	HEARTFAIL	OBESITYtoHEARTFAIL	OBESITY	HEARTFAIL	OBESITYtoHEARTFAIL				OBESITY	HEARTFAIL	OBESITYtoHEARTFAIL
PARKINSONtoDEMENTIA	PARKINSON	Parkinson disease	332	DEMENTIA	Dementia	290.1	Birth_to_PARKINSON	Birth_to_DEMENTIA	PARKINSONtoDEMENTIA							G6_PARKINSON	F5_DEMENTIA	G6_PARKINSON_F5_DEMENTIA_0										PARKINSON	DEMENTIA	PARKINSONtoDEMENTIA							PARKINSON	DEMENTIA	PARKINSONtoDEMENTIA
T1DtoCAD	T1D	Type 1 diabetes mellitus	250.1	CAD	Coronary atherosclerosis / coronary artery disease	411.4	Birth_to_T1D	Birth_to_CAD	T1DtoCAD; T1D_to_CAD							E4_DM1	I9_CORATHER	E4_DM1_I9_CORATHER_0							250.1	411.4	250.1_to_411.4	T1D	CAD	T1DtoCAD	T1D	CAD	T1DtoCAD				T1D	CAD	T1DtoCAD
T1DtoNEUROPATHY	T1D	Type 1 diabetes mellitus	250.1	NEUROPATHY	Diabetic neuropathy	250.6	Birth_to_T1D	Birth_to_NEUROPATHY	T1DtoNEUROPATHY; T1D_to_NEUROPATHY	T1D	NEUROPATHY	T1DtoNEUROPATHY				E4_DM1	DM_NEUROPATHY	E4_DM1_DM_NEUROPATHY_0							250.1	250.6	250.1_to_250.6	T1D	NEUROPATHY	T1DtoNEUROPATHY	T1D	NEUROPATHY	T1DtoNEUROPATHY				T1D	NEUROPATHY	T1DtoNEUROPATHY
T1DtoRETINOPATHY	T1D	Type 1 diabetes mellitus	250.1	RETINOPATHY	Diabetic retinopathy	250.7	Birth_to_T1D	Birth_to_RETINOPATHY	T1DtoRETINOPATHY; T1D_to_RETINOPATHY	T1D	RETINOPATHY	T1DtoRETINOPATHY				E4_DM1	DM_RETINOPATHY	E4_DM1_DM_RETINOPATHY_0										T1D	RETINOPATHY	T1DtoRETINOPATHY	T1D	RETINOPATHY	T1DtoRETINOPATHY				T1D	RETINOPATHY	T1DtoRETINOPATHY
T2DtoATHSCLE	T2D	Type 2 diabetes mellitus	250.2	ATHSCLE	Atherosclerosis	440	Birth_to_T2D	Birth_to_ATHSCLE	T2DtoATHSCLE; T2D_to_ATHSCLE				T2D	ATHSCLE	T2DtoATHSCLE	E4_DM2	I9_ATHSCLE	E4_DM2_I9_ATHSCLE_0	T2D	Atherosclerosis	T2D_to_Atherosclerosis				250.2	440	250.2_to_440	T2D	ATHSCLE	T2DtoATHSCLE	T2D	ATHSCLE	T2DtoATHSCLE				T2D	ATHSCLE	T2DtoATHSCLE
T2DtoCAD	T2D	Type 2 diabetes mellitus	250.2	CAD	Coronary atherosclerosis / coronary artery disease	411.4	Birth_to_T2D	Birth_to_CAD	T2DtoCAD; T2D_to_CAD	T2D	CAD	T2DtoCAD	T2D	CAD	T2DtoCAD	E4_DM2	I9_CORATHER	E4_DM2_I9_CORATHER_0	T2D	CAD	T2D_to_CAD				250.2	411.4	250.2_to_411.4	T2D	CAD	T2DtoCAD	T2D	CAD	T2DtoCAD	T2D	CAD	T2D_to_CAD	T2D	CAD	T2DtoCAD
T2DtoCARDARR	T2D	Type 2 diabetes mellitus	250.2	CARDARR	Cardiac arrhythmia	427.42	Birth_to_T2D	Birth_to_CARDARR	T2DtoCARDARR; T2D_to_CARDARR							E4_DM2	I9_CARDARR	E4_DM2_I9_CARDARR_0							250.2	427.42	250.2_to_427.42	T2D	CARDARR	T2DtoCARDARR							T2D	CARDARR	T2DtoCARDARR
T2DtoHEARTFAIL	T2D	Type 2 diabetes mellitus	250.2	HEARTFAIL	Heart failure	428.2	Birth_to_T2D	Birth_to_HEARTFAIL	T2DtoHEARTFAIL; T2D_to_HEARTFAIL	T2D	HEARTFAIL	T2DtoHEARTFAIL	T2D	HEARTFAIL	T2DtoHEARTFAIL	E4_DM2	I9_HEARTFAIL	E4_DM2_I9_HEARTFAIL_0	T2D	Heart_Failure	T2D_to_Heart_Failure				250.2	428.2	250.2_to_428.2	T2D	HEARTFAIL	T2DtoHEARTFAIL	T2D	HEARTFAIL	T2DtoHEARTFAIL	T2D	HEARTFAIL	T2D_to_HEARTFAIL	T2D	HEARTFAIL	T2DtoHEARTFAIL
T2DtoNEPHROPATHY	T2D	Type 2 diabetes mellitus	250.2	NEPHROPATHY	Diabetic nephropathy	250.22	Birth_to_T2D	Birth_to_NEPHROPATHY	T2DtoNEPHROPATHY; T2D_to_NEPHROPATHY	T2D	NEPHROPATHY	T2DtoNEPHROPATHY				E4_DM2	DM_NEPHROPATHY	E4_DM2_DM_NEPHROPATHY_0	T2D	Diabetic_Nephropathy	T2D_to_Diabetic_Nephropathy							T2D	NEPHROPATHY	T2DtoNEPHROPATHY	T2D	NEPHROPATHY	T2DtoNEPHROPATHY				T2D	NEPHROPATHY	T2DtoNEPHROPATHY
T2DtoNEUROPATHY	T2D	Type 2 diabetes mellitus	250.2	NEUROPATHY	Diabetic neuropathy	250.6	Birth_to_T2D	Birth_to_NEUROPATHY	T2DtoNEUROPATHY; T2D_to_NEUROPATHY	T2D	NEUROPATHY	T2DtoNEUROPATHY				E4_DM2	DM_NEUROPATHY	E4_DM2_DM_NEUROPATHY_0	T2D	Diabetic_Neuropathy	T2D_to_Diabetic_Neuropathy							T2D	NEUROPATHY	T2DtoNEUROPATHY	T2D	NEUROPATHY	T2DtoNEUROPATHY				T2D	NEUROPATHY	T2DtoNEUROPATHY
T2DtoRETINOPATHY	T2D	Type 2 diabetes mellitus	250.2	RETINOPATHY	Diabetic retinopathy	250.7	Birth_to_T2D	Birth_to_RETINOPATHY	T2DtoRETINOPATHY; T2D_to_RETINOPATHY	T2D	RETINOPATHY	T2DtoRETINOPATHY				E4_DM2	DM_RETINOPATHY	E4_DM2_DM_RETINOPATHY_0										T2D	RETINOPATHY	T2DtoRETINOPATHY	T2D	RETINOPATHY	T2DtoRETINOPATHY	T2D	RETINOPATHY	T2D_to_RETINOPATHY	T2D	RETINOPATHY	T2DtoRETINOPATHY
